release_speed;player_name;events;description;des;stand;p_throws;type;pitch_name;bat_speed;bat_win_exp;balls;strikes;outs_when_up;inning;inning_topbot;effective_speed;release_spin_rate
77.5;Buehler, Walker;strikeout;swinging_strike_blocked;Alex Verdugo strikes out swinging.;L;R;S;Knuckle Curve;73.8;0.044;1;2;2;9;Bot;77.3;2404
78.7;Buehler, Walker;;swinging_strike;Alex Verdugo strikes out swinging.;L;R;S;Knuckle Curve;73.9;0.044;1;1;2;9;Bot;78;2650
93.1;Buehler, Walker;;swinging_strike;Alex Verdugo strikes out swinging.;L;R;S;Cutter;74.2;0.044;1;0;2;9;Bot;93.7;2528
78.5;Buehler, Walker;;ball;Alex Verdugo strikes out swinging.;L;R;B;Knuckle Curve;;0.044;0;0;2;9;Bot;77.7;2516
77.4;Buehler, Walker;strikeout;swinging_strike;Austin Wells strikes out swinging.;L;R;S;Knuckle Curve;74.4;0.108;3;2;1;9;Bot;76.8;2459
97.2;Buehler, Walker;;ball;Austin Wells strikes out swinging.;L;R;B;4-Seam Fastball;;0.108;2;2;1;9;Bot;97.5;2419
78.4;Buehler, Walker;;foul;Austin Wells strikes out swinging.;L;R;S;Knuckle Curve;75.4;0.108;2;2;1;9;Bot;77.5;2771
78.1;Buehler, Walker;;foul;Austin Wells strikes out swinging.;L;R;S;Knuckle Curve;69.5;0.108;2;1;1;9;Bot;77.3;2450
96.2;Buehler, Walker;;ball;Austin Wells strikes out swinging.;L;R;B;4-Seam Fastball;;0.108;1;1;1;9;Bot;96;2405
78.9;Buehler, Walker;;ball;Austin Wells strikes out swinging.;L;R;B;Knuckle Curve;;0.108;0;1;1;9;Bot;77.7;2601
78.7;Buehler, Walker;;called_strike;Austin Wells strikes out swinging.;L;R;S;Knuckle Curve;;0.108;0;0;1;9;Bot;77.8;2653
77.6;Buehler, Walker;field_out;hit_into_play;Anthony Volpe grounds out, third baseman Max Muncy to first baseman Freddie Freeman.;R;R;X;Knuckle Curve;73.4;0.194;2;2;0;9;Bot;77.1;2495
96.7;Buehler, Walker;;ball;Anthony Volpe grounds out, third baseman Max Muncy to first baseman Freddie Freeman.;R;R;B;4-Seam Fastball;;0.194;1;2;0;9;Bot;96.8;2334
78.3;Buehler, Walker;;foul;Anthony Volpe grounds out, third baseman Max Muncy to first baseman Freddie Freeman.;R;R;S;Knuckle Curve;65.4;0.194;1;1;0;9;Bot;78;2535
94.9;Buehler, Walker;;called_strike;Anthony Volpe grounds out, third baseman Max Muncy to first baseman Freddie Freeman.;R;R;S;Sinker;;0.194;1;0;0;9;Bot;95.1;2143
96.1;Buehler, Walker;;ball;Anthony Volpe grounds out, third baseman Max Muncy to first baseman Freddie Freeman.;R;R;B;4-Seam Fastball;;0.194;0;0;0;9;Bot;95.9;2482
79.4;Leiter Jr., Mark;field_out;hit_into_play;Will Smith grounds out, third baseman Jazz Chisholm Jr. to first baseman Anthony Rizzo.;R;R;X;Sweeper;;0.837;0;0;2;9;Top;79.3;2264
75.5;Leiter Jr., Mark;strikeout;swinging_strike;Tommy Edman strikes out swinging.;L;R;S;Curveball;63.1;0.865;3;2;1;9;Top;74.7;2353
75.5;Leiter Jr., Mark;;blocked_ball;Tommy Edman strikes out swinging.;L;R;B;Curveball;;0.865;2;2;1;9;Top;74.6;2353
92.9;Leiter Jr., Mark;;called_strike;Tommy Edman strikes out swinging.;L;R;S;Sinker;;0.865;2;1;1;9;Top;92.4;2031
85.7;Leiter Jr., Mark;;blocked_ball;Tommy Edman strikes out swinging.;L;R;B;Split-Finger;;0.865;1;1;1;9;Top;86.1;779
84.6;Leiter Jr., Mark;;ball;Tommy Edman strikes out swinging.;L;R;B;Split-Finger;;0.865;0;1;1;9;Top;85;716
89.9;Leiter Jr., Mark;;called_strike;Tommy Edman strikes out swinging.;L;R;S;Cutter;;0.865;0;0;1;9;Top;90.4;2045
91.5;Weaver, Luke;walk;ball;Enrique Hernandez walks.;R;R;B;Cutter;;0.858;3;1;1;9;Top;91;2535
94.8;Weaver, Luke;;ball;Enrique Hernandez walks.;R;R;B;4-Seam Fastball;;0.858;2;1;1;9;Top;93.7;2526
91.6;Weaver, Luke;;ball;Enrique Hernandez walks.;R;R;B;Cutter;;0.858;1;1;1;9;Top;91.1;2485
92.6;Weaver, Luke;;foul;Enrique Hernandez walks.;R;R;S;Cutter;75.5;0.843;1;0;1;9;Top;91.6;2603
